id,cost,status
612,40131632,0
613,45838996,0
614,45838996,0
615,46903688,0
616,46903688,0
617,29420632,0
618,27460052,0
619,23740714,0
620,23122932,0
621,0,0
622,0,0
623,0,0
624,2000000,0
625,2000000,0
626,2000000,0
627,2000000,0
628,6382065,0
629,6382065,0
630,2000000,0
631,2000000,0
632,2000000,0
633,2000000,0
634,2000000,0
635,2000000,0
636,2000000,0
637,2000000,0
638,2000000,0
639,2000000,0
640,2000000,0
641,2000000,0
642,2000000,0
643,11891601,0
644,11891601,0
645,11891601,0
646,2000000,0
647,2000000,0
648,2000000,0
649,2000000,0
650,2000000,0
651,2000000,0
652,11661322,0
653,20296298,0
654,40131632,0
655,40131632,0
656,45838996,0
657,45750288,0
658,46903688,0
659,46903688,0
660,29420632,0
661,23740714,0
662,23740714,0
663,23122932,0
664,0,0
665,0,0
666,0,0
667,0,0
668,0,0
669,2000000,0
670,2000000,0
671,2000000,0
672,2000000,0
673,6382065,0
674,0,0
675,2000000,0
676,2000000,0
677,2000000,0
678,2000000,0
679,2000000,0
680,2000000,0
681,2000000,0
682,2000000,0
683,2000000,0
684,2000000,0
685,2000000,0
686,2000000,0
687,2000000,0
688,11891601,0
689,11891601,0
690,11891601,0
691,2000000,0
692,2000000,0
693,2000000,0
694,2000000,0
695,2000000,0
696,2000000,0
697,11661322,0
698,22949662,0
699,37131292,0
700,40131632,0
701,45838996,0
702,45838996,0
703,39365252,0
704,46903688,0
705,29420632,0
706,23740714,0
707,23740714,0
708,23122932,0
709,12401593,0
710,2000000,0
711,2000000,0
712,0,0
713,9217326,0
714,2000000,0
715,0,0
716,0,0
717,0,0
